source_row_number,field_name,issue_code,raw_value,detail
1368,School,school_missing_undergraduate,,School is blank for an undergraduate application
1372,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1372,School,school_missing,,School is blank in the source export
1372,School,school_missing_undergraduate,,School is blank for an undergraduate application
1377,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1377,School,school_missing,,School is blank in the source export
1379,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1379,School,school_missing,,School is blank in the source export
1381,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1381,School,school_missing,,School is blank in the source export
1384,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_regular'
1388,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1388,School,school_missing,,School is blank in the source export
1393,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1393,School,school_missing,,School is blank in the source export
1396,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1396,School,school_missing,,School is blank in the source export
1399,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1399,School,school_missing,,School is blank in the source export
1405,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1405,School,school_missing,,School is blank in the source export
1409,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1409,School,school_missing,,School is blank in the source export
1410,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1410,School,school_missing,,School is blank in the source export
1412,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1412,School,school_missing,,School is blank in the source export
1415,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1415,School,school_missing,,School is blank in the source export
1415,School,school_missing_undergraduate,,School is blank for an undergraduate application
1418,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'student_not_to_be_considered'
1419,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
1421,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1421,School,school_missing,,School is blank in the source export
1421,School,school_missing_undergraduate,,School is blank for an undergraduate application
1422,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
