segment_column,segment_value,sample_size,actual_mean,predicted_mean,mae,rmse,bias,p90_abs_error,within_10_pct_points,overprediction_rate,underprediction_rate
inferred_application_track,sophomore_regular,134,21.380597014925375,20.895522388059703,10.634328358208956,14.042844887604272,-0.48507462686567165,20.0,0.664179104477612,0.3283582089552239,0.4552238805970149
segment_household_income_bucket,mid,29,15.0,13.793103448275861,9.827586206896552,11.484622402331647,-1.206896551724138,15.999999999999996,0.6896551724137931,0.3793103448275862,0.5517241379310345
segment_household_income_bucket,low,38,14.078947368421053,15.657894736842104,8.68421052631579,11.121340320587073,1.5789473684210527,15.0,0.7894736842105263,0.4473684210526316,0.42105263157894735
segment_household_income_bucket,missing_or_zero,337,18.64985163204748,18.84272997032641,8.649851632047477,12.508157575547171,0.19287833827893175,20.0,0.7418397626112759,0.31750741839762614,0.3916913946587537
parsed_level,Undergraduate,392,16.3265306122449,16.3265306122449,8.520408163265307,12.184801506594273,0.0,20.0,0.7551020408163265,0.34183673469387754,0.3852040816326531
inferred_application_track,graduate_regular,82,16.341463414634145,16.097560975609756,8.414634146341463,12.783373347686496,-0.24390243902439024,20.0,0.7317073170731707,0.3048780487804878,0.35365853658536583
segment_school_group,[other_schools],293,16.843003412969285,16.928327645051194,8.41296928327645,11.775053169013965,0.08532423208191127,20.0,0.7610921501706485,0.34812286689419797,0.3993174061433447
segment_school_group,[missing],101,15.94059405940594,16.08910891089109,8.069306930693068,12.15616210930583,0.1485148514851485,20.0,0.7722772277227723,0.32673267326732675,0.3564356435643564
parsed_nationality,Lebanon,410,16.51219512195122,16.23170731707317,8.012195121951219,11.642541839641586,-0.2804878048780488,20.0,0.7707317073170732,0.3170731707317073,0.3902439024390244
inferred_application_track,early_merit,217,12.557603686635945,13.387096774193548,6.405529953917051,9.683945572096013,0.8294930875576036,15.0,0.847926267281106,0.33640552995391704,0.3225806451612903
segment_household_income_bucket,high,37,5.27027027027027,5.945945945945946,6.081081081081081,7.488730271620222,0.6756756756756757,10.0,0.9459459459459459,0.5135135135135135,0.2972972972972973
parsed_level,Graduate,56,14.464285714285714,15.446428571428571,5.982142857142857,9.087864749999623,0.9821428571428571,20.0,0.8214285714285714,0.25,0.32142857142857145
segment_household_income_bucket,very_high,29,2.7586206896551726,1.0344827586206897,2.413793103448276,7.0710678118654755,-1.7241379310344827,5.9999999999999964,0.9310344827586207,0.06896551724137931,0.10344827586206896
