feature,importance,source
parsed_father_income_document,0.22767795610918726,feature_importance_fallback
qa_risk_categories_business_rule,0.07805563657365597,feature_importance_fallback
derived_parent_gross_income_total,0.06091743203722098,feature_importance_fallback
parsed_mother_income_document,0.05785625132738631,feature_importance_fallback
parsed_properties_total_estimated_value,0.03308012573131603,feature_importance_fallback
parsed_father_annual_income_from_work_status,0.03155008087550098,feature_importance_fallback
parsed_properties_total_area,0.027519954396539276,feature_importance_fallback
parsed_siblings_other_total_tuition,0.027412180528290985,feature_importance_fallback
derived_household_income_total,0.02492383913488628,feature_importance_fallback
parsed_properties_count,0.02232274294625382,feature_importance_fallback
parsed_father_gross_income,0.02089932317734204,feature_importance_fallback
qa_max_severity_medium,0.017327284182876004,feature_importance_fallback
parsed_father_net_income,0.01213552518340989,feature_importance_fallback
derived_submission_month,0.011648165649827357,feature_importance_fallback
parsed_siblings_at_aub_count,0.011362934177935958,feature_importance_fallback
parsed_merit_pct,0.010719234111906457,feature_importance_fallback
parsed_mother_work_status_benefits_total,0.010227571626812494,feature_importance_fallback
parsed_cars_count,0.009948866790640639,feature_importance_fallback
parsed_siblings_not_at_aub_count,0.009291078560258648,feature_importance_fallback
parsed_siblings_other_total_financial_assistance,0.009156673915563875,feature_importance_fallback
