raw_source_row_number,raw_source_sheet_name,parsed_school,parsed_level,parsed_nationality,parsed_applicant_citizenship,actual_target,predicted_probability_awarded,confidence_score,selected_threshold,approve_threshold,reject_threshold,fairness_risk_flag,fairness_risk_reason,recommended_action,action_reason,case_explanation
1851,Export,Universal College - Aley,Undergraduate,Lebanon,Lebanon,1,0.9427881240844727,0.9427881240844727,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1283,Export,,Graduate,,Lebanon,1,0.9403575658798218,0.9403575658798218,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2727,Export,"Deutsche Internationale Schule Beirut (DISB), Khaldah",Undergraduate,Lebanon,Lebanon,1,0.855650007724762,0.855650007724762,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2754,Export,,Undergraduate,Lebanon,Lebanon,0,0.018443968147039413,0.9815560318529606,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
685,Export,"The Martyr Hasan Kassir Secondary School, Bir Hassan",Undergraduate,Lebanon,Lebanon,1,0.8826351761817932,0.8826351761817932,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1323,Export,"Irfan High School Hasbaya, Hasbaya",Undergraduate,Lebanon,Lebanon,1,0.8984261751174927,0.8984261751174927,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
3092,Export,"Hariri High School II, Beirut",Undergraduate,Lebanon,Lebanon,0,0.20240497589111328,0.7975950241088867,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
518,Export,The International School of Choueifat - Choueifat,Undergraduate,Lebanon,Lebanon,0,0.15140403807163239,0.8485959619283676,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2215,Export,"College Notre Dame de Jamhour, Baabda",Undergraduate,Lebanon,Lebanon,1,0.8228315711021423,0.8228315711021423,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2537,Export,"Greater Beirut Evangelical School, Sioufi",Undergraduate,Lebanon,Lebanon,0,0.2710225582122803,0.7289774417877197,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
627,Export,"College Notre Dame de Louaize (NDL), Zouk Mosbeh",Undergraduate,Lebanon,Lebanon,1,0.8379372358322144,0.8379372358322144,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2040,Export,"Hariri High School II, Beirut",Undergraduate,Lebanon,Lebanon,1,0.8908414840698242,0.8908414840698242,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
3042,Export,"Armenian Evangelical Central High School (CHS), Achrafieh",Undergraduate,Syria,Syria,1,0.2549818754196167,0.7450181245803833,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
